isolate	Spectinomycin	Cefotaxime	Ceftazidime
ERS357888	11	0	0
ERS357887	15	0	11
ERS357886	16	10	12
ERS357885	15	0	10
ERS357884	13	0	12
ERS357882	15	0	11
ERS357881	14	0	10
ERS357880	17	9	18
ERS357879	15	12	12
ERS357878	15	0	10
ERS357877	20	11	11
ERS357876	13	0	0
ERS357875	12	0	10
ERS357874	15	0	11
ERS357873	18	11	13
ERS357872	15	10	11
ERS357871	17	10	15
ERS357870	16	0	0
ERS357869	15	10	12
ERS357868	15	0	11
ERS357867	16	14	14
ERS357866	17	0	10
ERS357865	15	10	13
ERS357864	17	0	14
ERS357862	15	0	0
ERS357861	15	0	0
ERS357860	15	0	15
ERS357859	15	10	12
ERS357858	15	0	10
ERS357857	13	0	10
ERS357856	16	0	10
ERS357855	15	0	12
ERS357854	13	0	0
ERS357853	16	0	10
ERS357852	13	10	16
ERS357851	13	0	10
ERS357850	17	11	14
ERS357849	14	0	0
ERS357848	12	10	10
ERS357847	14	0	0
ERS357846	16	0	0
ERS357845	16	10	0
ERS357844	12	0	10
ERS357843	14	0	12
ERS357842	14	0	15
ERS357841	14	0	11
ERS357840	11	0	11
ERS357839	14	0	10
ERS357838	15	0	11
ERS357837	20	10	15
ERS357836	18	0	11
ERS357835	14	0	0
ERS357834	17	0	12
ERS357833	18	14	13
ERS357832	18	11	11
ERS357831	17	0	11
ERS357830	20	0	12
ERS357829	16	11	11
ERS357828	12	0	0
ERS357827	15	0	10
ERS357826	16	10	11
ERS357825	13	0	11
ERS357824	17	0	14
ERS357823	18	0	12
ERS357822	16	10	0
ERS357821	20	0	13
ERS357820	16	0	0
ERS357819	15	10	0
ERS357818	15	10	0
ERS357817	15	12	10
ERS357816	16	0	10
ERS357815	17	0	10
ERS357814	15	0	0
ERS357813	15	0	10
ERS357812	20	10	10
ERS357811	18	0	0
ERS357810	19	10	14
ERS357809	19	0	0
ERS357808	18	0	0
ERS357807	17	12	15
ERS357806	14	0	10
ERS357805	15	10	13
ERS357804	15	0	11
ERS357803	19	0	0
ERS357802	17	0	11
ERS357801	15	10	12
ERS357800	14	0	12
ERS357799	20	11	14
ERS357798	20	13	11
ERS357797	20	0	12
ERS357796	15	10	0
ERS357795	18	0	9
ERS357794	15	0	10
ERS357793	13	10	11
ERS357792	17	0	0
ERS357791	14	10	17
ERS357790	17	10	12
ERS357789	18	12	14
ERS357788	18	0	10
ERS357787	17	16	15
ERS357786	17	12	12
ERS357785	16	0	10
ERS357784	17	0	0
ERS357783	15	0	13
ERS357782	14	0	18
ERS357781	15	10	14
ERS357780	19	0	0
ERS357779	18	0	10
ERS357778	17	11	14
ERS357777	18	0	10
ERS357776	14	10	12
ERS357775	15	10	13
ERS357774	19	0	12
ERS357773	15	10	14
ERS357772	14	0	11
ERS357771	19	0	15
ERS357770	17	11	14
ERS357769	14	0	0
ERS357768	16	10	13
ERS357767	20	0	10
ERS357766	18	0	12
ERS357765	18	0	10
ERS357764	14	0	0
ERS357763	15	0	10
ERS357762	16	10	15
ERS357761	18	13	13
ERS357760	21	13	15
ERS357759	21	14	14
ERS357758	14	11	13
ERS357757	18	0	0
ERS357756	18	11	13
ERS357755	17	12	12
ERS357754	17	10	12
ERS357753	18	0	10
ERS357752	17	0	0
ERS357751	17	13	0
ERS357750	17	13	13
ERS357749	17	14	13
ERS357748	17	0	0
ERS357747	18	0	10
ERS357746	15	0	10
ERS357745	15	0	16
ERS357744	16	10	12
ERS357743	13	10	16
ERS357742	14	0	10
ERS357741	17	0	10
ERS357740	16	0	10
ERS357739	19	0	10
ERS357738	17	0	0
ERS357737	13	0	10
ERS357736	17	0	0
ERS357735	14	0	10
ERS357734	14	0	10
ERS357733	14	0	10
ERS357732	13	0	14
ERS357731	14	10	0
ERS357730	17	10	11
ERS357729	14	0	11
ERS357728	19	10	13
ERS357727	15	0	10
ERS357726	18	11	10
ERS357725	15	0	11
ERS357724	14	13	14
ERS357723	0	0	0
ERS357722	17	0	10
ERS357721	17	0	10
ERS357720	17	0	0
ERS357719	16	14	10
ERS357718	15	0	13
ERS357717	16	0	10
ERS357716	17	0	12
ERS357715	21	0	10
ERS357714	13	10	13
ERS357713	17	0	10
ERS357712	15	0	0
ERS357711	15	0	10
ERS357710	16	0	0
ERS357709	16	0	0
ERS357708	17	0	14
ERS357707	16	0	14
ERS357706	13	10	12
ERS357705	14	10	12
ERS357704	16	0	0
ERS357703	12	0	0
ERS357702	15	0	10
ERS357701	17	0	0
ERS357700	14	0	12
ERS357699	14	0	11
ERS357698	12	0	10
ERS357696	14	0	10
ERS357695	15	13	0
ERS357694	11	0	0
ERS357693	15	0	10
ERS357692	14	0	12
ERS357690	18	10	14
ERS357689	17	10	12
ERS357688	16	0	0
ERS357687	15	0	10
ERS357686	16	14	11
ERS357685	17	14	12
ERS357684	20	10	10
ERS357683	22	0	10
ERS357682	11	0	12
ERS357681	15	10	11
ERS357680	15	10	13
ERS357679	20	10	10
ERS357678	17	0	20
ERS357677	10	0	0
ERS357676	17	26	22
ERS357675	18	0	15
ERS357674	16	9	0
ERS357673	16	15	10
ERS357672	17	28	20
ERS357671	19	26	22
ERS357670	17	13	10
ERS357669	22	23	14
ERS357668	20	32	22
ERS357667	17	10	18
ERS357666	20	26	34
ERS357665	20	26	20
ERS357664	17	9	9
ERS357663	20	10	14
ERS357662	17	0	12
ERS357661	16	15	9
ERS357660	16	10	13
ERS357659	20	10	12
ERS357658	18	12	2
ERS357657	20	10	12
ERS357656	16	16	0
ERS357655	15	15	12
ERS357654	16	0	0
ERS357653	18	18	0
ERS357652	19	32	25
ERS357651	18	21	13
ERS357650	21	12	10
ERS357649	15	15	0
ERS357648	17	30	21
ERS357647	14	20	17
ERS357646	15	10	10
ERS357645	18	16	12
ERS357644	15	25	17
ERS357643	18	12	12
ERS357642	17	27	10
ERS357641	17	30	21
ERS357640	16	12	10
ERS357639	18	0	10
ERS357638	16	16	11
ERS357637	16	25	11
ERS357636	17	0	10
ERS357635	14	0	8
ERS357634	16	0	11
ERS357633	16	0	12
ERS357632	16	12	0
ERS357631	15	0	10
ERS357630	15	0	8
ERS357629	15	24	20
ERS357628	16	26	16
ERS357627	15	25	9
ERS357626	17	9	12
ERS357625	20	10	16
ERS357624	18	0	0
ERS357623	18	10	10
ERS357622	17	0	12
ERS357621	15	9	12
ERS357620	17	13	16
ERS357619	16	11	12
ERS357618	14	0	12
ERS357617	16	11	17
ERS357616	16	11	12
ERS357615	18	0	8
ERS357614	17	10	13
ERS357613	18	0	10
ERS357612	16	0	0
ERS357611	17	0	0
ERS357610	16	0	0
ERS357609	17	0	0
ERS357608	18	12	12
ERS357607	17	12	10
ERS357606	15	10	12
ERS357605	14	0	9
ERS357604	12	0	10
ERS357603	17	9	21
ERS357602	14	11	11
ERS357601	15	10	11
ERS357600	16	11	12
ERS357599	15	11	12
ERS357598	15	0	10
ERS357597	17	11	12
ERS357596	16	0	10
ERS357595	16	0	10
ERS357594	15	12	0
ERS357593	21	9	0
ERS357592	16	10	12
ERS357591	17	0	8
ERS357590	16	0	0
ERS357589	17	0	10
ERS357588	16	0	0
ERS357587	18	0	11
ERS357586	17	26	19
ERS357585	19	0	10
ERS357584	20	11	14
ERS357583	17	0	9
ERS357582	17	10	10
ERS357581	15	11	0
ERS357580	17	10	12
ERS357579	16	21	22
ERS357578	20	24	24
ERS357577	20	10	10
ERS357576	18	11	8
ERS357575	15	0	11
ERS357574	17	0	10
ERS357573	20	11	12
ERS357572	20	9	12
