locus_tag	gene_name	coef
b0741	pal	-0.953214405089228
b0742	cpoB	2.1906149046167824
b0755	gpmA	0.8033387870014463
b0759	galE	-1.7367360797203943
b0781	moaA	-4.0385292879435175
b0791	ybhQ	2.4045141067428943
b0797	rhlE	-3.1120469218010243
b0836	bssR	0.7343984806812216
b0862	artQ	-2.20122456744346
b0873	hcp	-0.3293620057328073
b0880	cspD	-0.7416117372170277
b4770	yljB	0.25727360029210455
b0882	clpA	-0.7856976518161716
b0884	infA	0.7976507749241355
b0887	cydD	3.263867144466893
b0888	trxB	-0.9214645329394686
b0889	lrp	-0.544914347256853
b0890	ftsK	0.2997549246796867
b0893	serS	1.3913507742442945
b0903	pflB	1.5550477786071828
b0904	focA	0.9000198865273425
b0910	cmk	0.827485698595325
b0911	rpsA	0.26794398674957165
b0912	ihfB	0.8536089988428547
b0913	ycaI	-0.3746389897547666
b0922	mukF	3.7723537974505916
b0928	aspC	-0.3293620057327977
b0930	asnS	-3.8978792714690593
b0932	pepN	-0.6071680691302328
b0953	rmf	0.16289161154033915
b0966	hspQ	0.16189887620350074
b0978	appC	0.24405683957598656
b1048	opgG	-0.635362345919912
b1084	rne	-0.976733575733993
b1085	yceQ	-1.3535328075652302
b1088	yceD	2.4884642966059096
b1089	rpmF	-0.42999837578644806
b1090	plsX	-1.3112877042296986
b1093	fabG	-0.28014815461242426
b1094	acpP	0.23542006567176532
b1095	fabF	0.2882724597127799
b1100	ycfH	1.8711504751101664
b1101	ptsG	-2.188366908560802
b1103	hinT	-0.2572736002917617
b1117	lolD	1.6469081699083539
b1131	purB	-0.18454109862489076
b1136	icd	0.2949746347531459
b1188	ycgB	-0.3991512539914339
b1206	dauA	0.34693753469618116
b1207	prs	-0.22370349260857303
b1213	ychQ	1.9876278675156236
b1224	narG	0.9802146551101671
b1236	galU	1.9884268426125402
b1237	hns	0.9800926703521943
b1241	adhE	-2.385771112946543
b1244	oppB	-0.19062106905737863
b1274	topA	0.1426622752996316
b1277	ribA	-0.6036394020054665
b1279	lapA	2.609954836475218
b1294	sapA	-0.4104803202659957
b1604	ydgH	-0.4961931948547519
b1637	tyrS	1.2224964669898597
b1652	rnt	-0.4168176791066638
b1654	grxD	0.5186241890361316
b1655	mepH	5.017210295970146
b1659	punR	0.597876285725107
b1660	punC	-0.8068007252184195
