Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR16683567_1	(1.0, 34.67899393681801)	(2.0, 19.44441847431073)	(3.0, 12.430649976663467)	(4.0, 8.339844219050084)	(5.0, 5.789108704822275)	(6.0, 4.127701564164761)	(7.0, 2.9388157483243202)	(8.0, 2.3075258658271323)	(9.0, 1.7538329786053588)	('>10', 7.923658393207707)	('>50', 0.19856277547683648)	('>100', 0.06688736272931554)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR16683567_2	(1.0, 35.436675586674085)	(2.0, 19.61367932156947)	(3.0, 12.317087849719742)	(4.0, 8.106743844777517)	(5.0, 5.835555874147567)	(6.0, 3.9870023419333585)	(7.0, 2.9210003410085674)	(8.0, 2.247346551476048)	(9.0, 1.6573778538176975)	('>10', 7.593823515222518)	('>50', 0.1816334855683989)	('>100', 0.05575306828186988)	('>500', 0.04632036580317923)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR16683568_1	(1.0, 36.30007141734774)	(2.0, 19.78875235018636)	(3.0, 12.65884486167685)	(4.0, 8.233412625196918)	(5.0, 5.688001033312006)	(6.0, 4.087954898307478)	(7.0, 2.8316183116237617)	(8.0, 2.0593155539413783)	(9.0, 1.5236505740600248)	('>10', 6.623122657773772)	('>50', 0.13985114261211057)	('>100', 0.06540457396157631)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR16683568_2	(1.0, 36.831495147899254)	(2.0, 19.928870688756323)	(3.0, 12.661652521007547)	(4.0, 8.440822077407649)	(5.0, 5.477131643205922)	(6.0, 3.84047397759912)	(7.0, 2.756710842797166)	(8.0, 1.9846826172933578)	(9.0, 1.4627100944060851)	('>10', 6.391605478321534)	('>50', 0.10849424302673612)	('>100', 0.054402389569964696)	('>500', 0.0)	('>1k', 0.06094827870932344)	('>5k', 0.0)	('>10k+', 0.0)
SRR16683569_1	(1.0, 39.22888795739555)	(2.0, 20.86643438153719)	(3.0, 12.521077845031936)	(4.0, 7.931267914844263)	(5.0, 5.236558139405424)	(6.0, 3.490438146074231)	(7.0, 2.4507559457471126)	(8.0, 1.8006020236806208)	(9.0, 1.2610325060692098)	('>10', 5.056684364726054)	('>50', 0.11539074550584881)	('>100', 0.040870029982589436)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR16683569_2	(1.0, 40.551830924955304)	(2.0, 20.71163551913844)	(3.0, 12.464214451668107)	(4.0, 7.651167857977261)	(5.0, 5.049149994824158)	(6.0, 3.4192003629980268)	(7.0, 2.3177658564891015)	(8.0, 1.6890830426826793)	(9.0, 1.2021307348467345)	('>10', 4.745083803806387)	('>50', 0.10479816895974839)	('>100', 0.028836589140439864)	('>500', 0.0)	('>1k', 0.06510269251356947)	('>5k', 0.0)	('>10k+', 0.0)
SRR16683570_1	(1.0, 35.21986376017862)	(2.0, 19.47700886307746)	(3.0, 12.503329433774962)	(4.0, 8.345733587653148)	(5.0, 5.752941246112027)	(6.0, 4.087826175569083)	(7.0, 3.0235195656703193)	(8.0, 2.2578723126153037)	(9.0, 1.6631834113634982)	('>10', 7.38544770098238)	('>50', 0.1889982779017421)	('>100', 0.09427566510140087)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR16683570_2	(1.0, 36.43861171289635)	(2.0, 19.341923083863875)	(3.0, 12.41995238608458)	(4.0, 8.287389736963302)	(5.0, 5.644215081001678)	(6.0, 3.8983510306822877)	(7.0, 2.921414611833949)	(8.0, 2.132753184275067)	(9.0, 1.614254072927086)	('>10', 6.992838988830766)	('>50', 0.1774651381300596)	('>100', 0.08219224301030036)	('>500', 0.04863872950069731)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR16683571_1	(1.0, 38.809193286075256)	(2.0, 20.233703072799422)	(3.0, 11.99300655859433)	(4.0, 7.735783646858817)	(5.0, 5.00601139255707)	(6.0, 3.591620968467949)	(7.0, 2.5660315983549733)	(8.0, 1.9647631314050567)	(9.0, 1.420880972245693)	('>10', 6.414398854660869)	('>50', 0.17103740983946383)	('>100', 0.09356910814106996)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR16683571_2	(1.0, 40.0745374427615)	(2.0, 19.923609214178192)	(3.0, 11.869315630351664)	(4.0, 7.444456011228476)	(5.0, 4.972303994841483)	(6.0, 3.449806340355909)	(7.0, 2.493130027880428)	(8.0, 1.8508876386701516)	(9.0, 1.4210541909853567)	('>10', 6.209495456891455)	('>50', 0.1580131121984205)	('>100', 0.07679446841448925)	('>500', 0.05659647124245921)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
