Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
SRR16683557_2	(35, 3707.0)	(40, 4223.0)	(45, 6125.0)	(50, 7602.0)	(55, 9891.0)	(60, 11602.0)	(65, 13688.0)	(70, 15803.0)	(75, 17842.0)	(80, 20194.0)	(85, 21962.0)	(90, 24359.0)	(95, 25802.0)	(100, 27581.0)	(105, 28865.0)	(110, 30334.0)	(115, 30930.0)	(120, 31833.0)	(125, 32268.0)	(130, 32932.0)	(135, 32800.0)	(140, 34010.0)	(145, 1025422.0)
SRR16683558_1	(35, 7357.0)	(40, 8247.0)	(45, 11535.0)	(50, 14261.0)	(55, 17979.0)	(60, 21329.0)	(65, 24671.0)	(70, 28524.0)	(75, 30925.0)	(80, 34716.0)	(85, 36168.0)	(90, 39168.0)	(95, 40233.0)	(100, 42212.0)	(105, 42368.0)	(110, 43627.0)	(115, 43554.0)	(120, 43743.0)	(125, 43181.0)	(130, 42865.0)	(135, 42774.0)	(140, 41900.0)	(145, 1178756.0)
SRR16683558_2	(35, 7247.0)	(40, 8196.0)	(45, 11470.0)	(50, 14164.0)	(55, 17893.0)	(60, 21239.0)	(65, 24585.0)	(70, 28400.0)	(75, 30780.0)	(80, 34567.0)	(85, 36022.0)	(90, 38996.0)	(95, 40109.0)	(100, 42045.0)	(105, 42199.0)	(110, 43456.0)	(115, 43414.0)	(120, 43577.0)	(125, 43048.0)	(130, 42793.0)	(135, 42605.0)	(140, 41847.0)	(145, 1181441.0)
SRR16683559_1	(35, 2072.0)	(40, 2664.0)	(45, 3713.0)	(50, 5051.0)	(55, 6569.0)	(60, 7819.0)	(65, 9335.0)	(70, 10795.0)	(75, 12505.0)	(80, 14509.0)	(85, 15990.0)	(90, 17860.0)	(95, 19541.0)	(100, 21241.0)	(105, 22999.0)	(110, 24209.0)	(115, 25316.0)	(120, 26744.0)	(125, 27974.0)	(130, 28645.0)	(135, 29533.0)	(140, 30843.0)	(145, 1030531.0)
SRR16683559_2	(35, 2025.0)	(40, 2655.0)	(45, 3698.0)	(50, 5031.0)	(55, 6535.0)	(60, 7771.0)	(65, 9314.0)	(70, 10782.0)	(75, 12466.0)	(80, 14420.0)	(85, 15881.0)	(90, 17758.0)	(95, 19446.0)	(100, 21114.0)	(105, 22898.0)	(110, 24092.0)	(115, 25216.0)	(120, 26650.0)	(125, 27859.0)	(130, 28618.0)	(135, 29448.0)	(140, 30803.0)	(145, 1031978.0)
SRR16683560_1	(35, 1373.0)	(40, 1557.0)	(45, 2512.0)	(50, 3551.0)	(55, 4647.0)	(60, 5832.0)	(65, 6964.0)	(70, 8210.0)	(75, 9495.0)	(80, 11259.0)	(85, 12345.0)	(90, 14327.0)	(95, 15315.0)	(100, 17635.0)	(105, 18808.0)	(110, 20680.0)	(115, 21402.0)	(120, 23422.0)	(125, 24192.0)	(130, 25634.0)	(135, 26294.0)	(140, 27880.0)	(145, 1145155.0)
SRR16683560_2	(35, 1343.0)	(40, 1545.0)	(45, 2508.0)	(50, 3550.0)	(55, 4636.0)	(60, 5819.0)	(65, 6955.0)	(70, 8182.0)	(75, 9480.0)	(80, 11220.0)	(85, 12363.0)	(90, 14290.0)	(95, 15308.0)	(100, 17578.0)	(105, 18811.0)	(110, 20660.0)	(115, 21394.0)	(120, 23411.0)	(125, 24184.0)	(130, 25659.0)	(135, 26327.0)	(140, 28082.0)	(145, 1145184.0)
SRR16683561_1	(35, 4004.0)	(40, 4483.0)	(45, 6411.0)	(50, 8144.0)	(55, 10719.0)	(60, 13123.0)	(65, 15372.0)	(70, 18062.0)	(75, 20407.0)	(80, 23096.0)	(85, 24703.0)	(90, 27783.0)	(95, 29455.0)	(100, 32305.0)	(105, 33359.0)	(110, 35360.0)	(115, 35666.0)	(120, 37197.0)	(125, 38194.0)	(130, 38389.0)	(135, 39304.0)	(140, 39392.0)	(145, 1195799.0)
SRR16683561_2	(35, 3883.0)	(40, 4474.0)	(45, 6387.0)	(50, 8107.0)	(55, 10722.0)	(60, 13112.0)	(65, 15370.0)	(70, 18053.0)	(75, 20376.0)	(80, 23063.0)	(85, 24691.0)	(90, 27771.0)	(95, 29430.0)	(100, 32300.0)	(105, 33352.0)	(110, 35330.0)	(115, 35671.0)	(120, 37292.0)	(125, 38262.0)	(130, 38481.0)	(135, 39317.0)	(140, 39802.0)	(145, 1195481.0)
SRR16683562_1	(35, 8817.0)	(40, 8745.0)	(45, 11626.0)	(50, 14181.0)	(55, 18168.0)	(60, 21912.0)	(65, 24854.0)	(70, 28801.0)	(75, 31573.0)	(80, 35924.0)	(85, 37673.0)	(90, 41074.0)	(95, 43168.0)	(100, 45227.0)	(105, 46036.0)	(110, 47884.0)	(115, 47768.0)	(120, 48551.0)	(125, 48765.0)	(130, 47764.0)	(135, 47814.0)	(140, 46999.0)	(145, 1144849.0)
